,Letter_total_frequency,Frequency
0,e,47.42307692307692
1,a,37.65384615384615
2,r,34.57692307692308
3,o,29.0
4,t,28.03846153846154
5,l,27.653846153846153
6,i,25.807692307692307
7,s,25.73076923076923
8,n,22.115384615384617
9,c,18.346153846153847
10,u,17.96153846153846
11,y,16.346153846153847
12,d,15.115384615384615
13,h,14.961538461538462
14,p,14.115384615384615
15,m,12.153846153846153
16,g,11.961538461538462
17,b,10.807692307692308
18,f,8.846153846153847
19,k,8.076923076923077
20,w,7.5
21,v,5.884615384615385
22,z,1.5384615384615385
23,x,1.4230769230769231
24,q,1.1153846153846154
25,j,1.0384615384615385
